group,language,birth_date,sex,country,work_place,Creazione della Safety Vision,Costante focalizzazione sulla sicurezza,Influenzare ed ispirare gli altri,Credibilità e affidabilità,Orientamento al Team,Comunicazione efficace,Feedback e riconoscimento
2,en,1977-06-16 00:00:00,Femmina,AZERBAIGIAN,Ufficio,46,48,57,47,77,54,20
2,en,1969-08-25 00:00:00,Maschio,ITALIA,Ufficio,51,52,27,60,51,46,53
2,en,1981-07-19 00:00:00,Maschio,AZERBAIGIAN,Ufficio,71,52,53,60,77,26,10
2,en,1973-03-29 00:00:00,Maschio,AZERBAIGIAN,Ufficio,14,72,50,60,40,46,37
2,en,1991-01-18 00:00:00,Maschio,AZERBAIGIAN,Ufficio,60,32,80,43,89,54,37
2,en,1975-01-31 00:00:00,Femmina,AZERBAIGIAN,Ufficio,57,48,27,83,77,43,57
2,en,1986-05-03 00:00:00,Femmina,AZERBAIGIAN,Ufficio,46,55,57,50,80,40,57
2,en,1991-01-01 00:00:00,Maschio,AZERBAIGIAN,Ufficio,57,42,37,23,66,51,60
3,it,1972-06-11 00:00:00,Femmina,ITALIA,Ufficio,49,42,80,37,63,54,37
4,it,2004-10-19 00:00:00,Maschio,ITALIA,Altro,46,72,53,70,60,37,33
4,it,2005-01-11 00:00:00,Maschio,ITALIA,Altro,54,22,53,83,80,57,33
4,it,2003-02-14 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,46,70,53,53,23,54,47
4,it,2001-06-18 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,77,38,60,53,60,51,47
4,it,2003-03-01 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,37,65,47,60,46,71,60
4,it,2001-02-21 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,46,80,63,70,29,66,40
4,it,2005-10-10 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,69,62,53,57,31,60,53
4,it,2005-06-15 00:00:00,Maschio,ITALIA,Ufficio,66,52,43,63,49,60,60
4,it,2006-01-27 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,29,45,43,83,57,60,57
4,it,2005-07-08 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,40,65,53,70,40,71,33
4,it,2001-08-17 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,83,68,50,33,9,60,47
4,it,2002-08-31 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,46,42,60,43,86,54,57
4,it,2006-02-08 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,77,28,43,50,60,66,53
4,it,2002-09-25 00:00:00,Maschio,ITALIA,Ufficio,0,0,0,0,0,0,0
4,it,2002-09-25 00:00:00,Maschio,ITALIA,Ufficio,51,62,47,53,37,63,73
4,it,2003-04-18 00:00:00,Maschio,ITALIA,Altro,40,60,43,77,54,54,60
5,en,1980-12-31 00:00:00,Maschio,FILIPPINE,Ufficio,94,57,53,70,80,23,30
5,en,1980-07-02 00:00:00,Maschio,ARABIA SAUDITA,Ufficio,0,0,0,0,0,0,0
5,en,1987-01-25 00:00:00,Maschio,EMIRATI ARABI UNITI,Altro,34,52,53,57,77,20,30
5,en,1979-12-24 00:00:00,Maschio,INDIA,Ufficio,74,57,50,53,51,37,70
5,en,1989-03-11 00:00:00,Maschio,FILIPPINE,Ufficio,49,45,60,37,66,60,47
5,en,1965-07-11 00:00:00,Maschio,ARABIA SAUDITA,Altro,57,40,43,60,69,40,63
5,en,1983-03-07 00:00:00,Maschio,INDIA,Altro,14,28,10,10,23,29,43
5,en,1985-05-19 00:00:00,Maschio,ARABIA SAUDITA,Ufficio,0,0,0,0,0,0,0
5,en,1983-03-07 00:00:00,Maschio,INDIA,Altro,23,48,27,73,89,60,43
5,en,1970-12-01 00:00:00,Maschio,BRASILE,Altro,89,65,53,53,66,34,47
5,en,1985-05-19 00:00:00,Maschio,ARABIA SAUDITA,Ufficio,54,55,77,37,80,46,30
5,es,1973-03-05 00:00:00,Maschio,ARABIA SAUDITA,Altro,37,52,57,37,40,26,53
5,en,1980-07-02 00:00:00,Maschio,ARABIA SAUDITA,Ufficio,66,42,30,20,71,43,63
5,en,1986-05-20 00:00:00,Maschio,ARABIA SAUDITA,Ufficio,66,52,20,73,46,57,80
6,en,1987-05-09 00:00:00,Femmina,AUSTRIA,Ufficio,0,0,0,0,0,0,0
6,de,1982-09-13 00:00:00,Maschio,AUSTRIA,Ufficio,43,32,83,50,91,29,43
6,en,1985-02-12 00:00:00,Maschio,AUSTRIA,Ufficio,23,35,50,50,71,69,27
6,de,1984-08-21 00:00:00,Maschio,ITALIA,Ufficio,31,40,70,70,54,60,77
6,en,1967-06-05 00:00:00,Maschio,AUSTRIA,Ufficio,46,25,50,47,77,51,30
6,en,1980-07-25 00:00:00,Femmina,AUSTRIA,Ufficio,40,45,63,47,66,63,47
6,de,1991-10-29 00:00:00,Maschio,AUSTRIA,Ufficio,31,55,37,40,51,54,30
6,it,1991-10-29 00:00:00,Maschio,AUSTRIA,Ufficio,26,35,27,80,77,71,53
6,en,1969-03-21 00:00:00,Maschio,AUSTRIA,Ufficio,63,35,37,47,60,46,83
6,en,1987-05-09 00:00:00,Femmina,AUSTRIA,Ufficio,54,52,33,87,60,17,60
6,de,1976-01-20 00:00:00,Maschio,AUSTRIA,Ufficio,63,45,73,73,60,31,43
6,de,1982-07-10 00:00:00,Maschio,AUSTRIA,Ufficio,43,28,53,70,34,60,60
6,en,1992-12-18 00:00:00,Femmina,AUSTRIA,Ufficio,37,62,17,83,89,54,53
6,en,1960-01-06 00:00:00,Maschio,AUSTRIA,Ufficio,20,52,47,47,37,86,87
6,en,1982-01-21 00:00:00,Maschio,AUSTRIA,Ufficio,74,52,60,47,51,66,53
6,en,1971-11-10 00:00:00,Maschio,AUSTRIA,Ufficio,74,42,53,67,89,43,20
6,en,1973-08-19 00:00:00,Maschio,AUSTRIA,Altro,63,40,23,60,43,49,33
6,en,1991-05-18 00:00:00,Maschio,FRANCIA,Ufficio,37,38,43,67,86,71,30
7,en,1966-11-29 00:00:00,Maschio,AUSTRIA,Ufficio,40,50,30,63,40,40,47
7,en,1969-07-15 00:00:00,Maschio,AUSTRIA,Altro,26,60,50,70,71,63,53
7,de,1979-04-17 00:00:00,Maschio,AUSTRIA,Ufficio,31,57,33,80,57,63,60
7,en,1977-11-21 00:00:00,Maschio,AUSTRIA,Ufficio,80,48,60,77,40,23,77
7,en,1980-12-02 00:00:00,Maschio,AUSTRIA,Ufficio,29,50,40,83,49,43,47
7,de,1983-06-08 00:00:00,Maschio,AUSTRIA,Ufficio,49,45,40,77,74,51,30
7,en,1974-03-08 00:00:00,Maschio,AUSTRIA,Ufficio,66,57,43,63,51,46,37
7,en,1979-07-11 00:00:00,Maschio,AUSTRIA,Ufficio,37,35,50,73,86,54,60
7,en,1991-05-20 00:00:00,Maschio,AUSTRIA,Ufficio,0,0,0,0,0,0,0
7,en,1944-11-26 00:00:00,Femmina,AUSTRIA,Ufficio,43,38,60,57,60,23,50
7,de,1982-10-03 00:00:00,Maschio,AUSTRIA,Ufficio,60,35,33,73,66,60,37
7,en,1984-02-09 00:00:00,Maschio,AUSTRIA,Ufficio,49,55,27,70,83,31,37
7,en,1972-08-30 00:00:00,Maschio,SLOVENIA,Altro,0,0,0,0,0,0,0
7,en,1972-08-30 00:00:00,Maschio,SLOVENIA,Altro,0,0,0,0,0,0,0
7,en,1978-01-01 00:00:00,Maschio,AUSTRIA,Ufficio,54,40,70,53,74,60,50
7,en,1975-05-11 00:00:00,Maschio,AUSTRIA,Ufficio,51,32,30,80,66,69,57
7,en,1976-07-15 00:00:00,Maschio,AUSTRIA,Ufficio,31,70,53,80,63,31,47
7,en,1972-08-30 00:00:00,Maschio,SLOVENIA,Cantiere o sito operativo,77,57,77,63,49,43,47
7,en,1968-05-14 00:00:00,Maschio,AUSTRIA,Ufficio,0,8,0,0,0,14,0
7,en,1968-05-14 00:00:00,Maschio,AUSTRIA,Ufficio,63,42,43,73,51,49,57
7,it,1991-05-20 00:00:00,Maschio,AUSTRIA,Ufficio,57,50,60,60,51,49,37
7,en,1968-10-10 00:00:00,Maschio,AUSTRIA,Ufficio,77,60,43,70,40,9,80
7,it,1970-03-22 00:00:00,Maschio,AUSTRIA,Ufficio,69,28,30,53,80,40,53
7,de,1988-10-19 00:00:00,Maschio,AUSTRIA,Ufficio,74,60,27,70,63,40,37
7,en,1969-01-28 00:00:00,Maschio,AUSTRIA,Ufficio,54,52,43,63,74,46,33
7,en,1987-01-11 00:00:00,Maschio,AUSTRIA,Ufficio,40,42,53,27,60,40,70
7,en,1984-06-11 00:00:00,Maschio,AUSTRIA,Ufficio,49,50,37,77,77,54,57
8,en,1984-03-09 00:00:00,Maschio,POLONIA,Ufficio,43,22,37,70,66,69,50
8,en,1981-09-16 00:00:00,Maschio,AUSTRIA,Ufficio,46,15,37,80,89,69,43
8,de,1982-03-12 00:00:00,Maschio,AUSTRIA,Ufficio,11,40,60,53,80,51,57
8,en,1969-05-09 00:00:00,Maschio,AUSTRIA,Ufficio,46,70,43,50,77,49,37
8,en,1977-07-09 00:00:00,Maschio,SUD AFRICA,Ufficio,74,57,37,43,63,17,60
8,en,1980-06-07 00:00:00,Maschio,FRANCIA,Ufficio,69,72,60,20,83,17,77
8,en,1993-04-29 00:00:00,Maschio,FRANCIA,Ufficio,63,48,53,53,66,57,57
8,en,1972-05-26 00:00:00,Maschio,AUSTRIA,Ufficio,69,40,50,80,60,37,70
8,de,1980-04-07 00:00:00,Maschio,AUSTRIA,Ufficio,40,60,37,90,31,37,60
8,de,1984-06-09 00:00:00,Maschio,AUSTRIA,Ufficio,63,32,40,70,63,49,43
8,en,1993-04-07 00:00:00,Maschio,AUSTRIA,Ufficio,51,52,33,53,60,37,83
8,en,1968-09-05 00:00:00,Maschio,SVIZZERA,Ufficio,40,35,63,50,57,63,43
8,de,1990-07-09 00:00:00,Maschio,AUSTRIA,Ufficio,46,48,40,60,74,51,27
8,en,1973-06-09 00:00:00,Maschio,AUSTRIA,Altro,60,35,67,63,60,34,60
8,de,1964-02-22 00:00:00,Maschio,AUSTRIA,Ufficio,43,55,33,57,60,11,33
8,en,1966-11-01 00:00:00,Maschio,AUSTRIA,Ufficio,26,48,53,63,83,66,23
8,de,1967-05-29 00:00:00,Maschio,AUSTRIA,Ufficio,37,55,70,73,37,46,47
8,en,1965-04-16 00:00:00,Maschio,AUSTRIA,Ufficio,46,60,47,33,69,63,40
9,fr,1974-08-16 00:00:00,Maschio,FRANCIA,Ufficio,69,70,63,67,63,0,53
9,en,1976-02-19 00:00:00,Maschio,CROAZIA,Ufficio,0,0,0,0,0,0,0
9,en,1967-05-28 00:00:00,Maschio,SVIZZERA,Ufficio,40,45,60,47,51,66,30
9,en,1968-12-23 00:00:00,Maschio,AUSTRIA,Ufficio,43,60,43,57,54,37,77
9,de,1975-10-09 00:00:00,Maschio,AUSTRIA,Ufficio,34,42,47,70,57,29,80
9,en,1970-10-27 00:00:00,Maschio,SVIZZERA,Ufficio,60,57,73,50,86,26,60
9,de,1981-06-05 00:00:00,Maschio,AUSTRIA,Ufficio,23,52,50,57,54,51,83
9,fr,1979-06-19 00:00:00,Maschio,FRANCIA,Ufficio,54,32,47,50,74,43,43
9,it,1970-02-02 00:00:00,Maschio,ITALIA,Ufficio,71,52,73,53,49,54,73
9,en,1985-05-23 00:00:00,Femmina,SVIZZERA,Ufficio,17,60,57,67,80,34,80
9,en,2002-10-17 00:00:00,Maschio,FRANCIA,Ufficio,46,42,70,33,54,69,63
9,de,1980-06-27 00:00:00,Maschio,AUSTRIA,Cantiere o sito operativo,0,0,0,0,0,0,0
9,en,1971-12-07 00:00:00,Maschio,SVIZZERA,Ufficio,46,48,57,60,63,63,47
9,en,1972-01-06 00:00:00,Maschio,AUSTRIA,Ufficio,26,30,43,67,63,54,50
9,de,1980-06-27 00:00:00,Maschio,AUSTRIA,Cantiere o sito operativo,54,60,60,63,51,34,60
9,de,1963-07-17 00:00:00,Maschio,AUSTRIA,Ufficio,74,57,77,50,40,46,47
9,de,1984-03-26 00:00:00,Maschio,AUSTRIA,Ufficio,54,42,77,37,74,49,53
9,de,1970-06-19 01:00:00,Maschio,AUSTRIA,Ufficio,63,52,60,53,43,26,70
9,en,1982-01-18 00:00:00,Maschio,AUSTRIA,Ufficio,77,60,60,47,69,37,47
9,en,1976-02-19 00:00:00,Maschio,CROAZIA,Ufficio,60,42,80,33,51,54,37
9,en,1974-07-02 00:00:00,Maschio,AUSTRIA,Altro,0,0,0,0,0,14,0
9,en,1986-11-16 00:00:00,Maschio,AUSTRIA,Altro,57,55,40,57,46,57,57
9,en,1989-02-06 00:00:00,Femmina,CROAZIA,Ufficio,57,38,37,43,51,60,50
9,en,1969-05-08 00:00:00,Maschio,ITALIA,Ufficio,66,55,0,53,69,60,67
9,it,1974-01-11 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,71,42,40,73,74,37,33
9,en,1970-03-04 00:00:00,Maschio,AUSTRIA,Ufficio,43,22,27,37,74,34,57
9,en,1970-03-04 00:00:00,Maschio,AUSTRIA,Ufficio,60,40,80,63,66,23,57
9,en,1980-12-07 00:00:00,Maschio,AUSTRIA,Ufficio,69,20,40,43,51,77,73
10,en,1969-10-19 00:00:00,Maschio,AUSTRIA,Ufficio,74,50,47,53,60,54,37
10,en,1985-12-19 00:00:00,Maschio,UNGHERIA,Ufficio,54,45,37,27,63,69,73
10,it,1964-07-22 00:00:00,Maschio,ITALIA,Ufficio,11,65,43,57,51,37,80
10,en,1980-08-17 00:00:00,Maschio,UNGHERIA,Ufficio,46,60,50,53,66,49,73
10,en,1965-08-05 00:00:00,Maschio,AUSTRIA,Ufficio,40,25,37,33,86,57,53
10,en,1965-03-12 00:00:00,Maschio,ITALIA,Ufficio,0,0,0,0,0,0,0
10,en,1985-12-19 00:00:00,Maschio,PORTOGALLO,Ufficio,49,40,63,40,66,46,27
10,en,1993-02-18 00:00:00,Maschio,AUSTRIA,Ufficio,37,55,77,77,51,46,57
10,it,1965-03-12 00:00:00,Maschio,ITALIA,Ufficio,49,57,60,60,40,26,57
10,en,1967-02-19 00:00:00,Maschio,AUSTRIA,Ufficio,31,32,70,63,60,66,43
10,es,1994-07-16 00:00:00,Femmina,SPAGNA,Ufficio,63,45,70,43,54,46,63
10,en,1973-05-04 00:00:00,Maschio,TURCHIA,Ufficio,66,35,37,70,60,77,53
10,en,1974-06-30 00:00:00,Maschio,AUSTRIA,Ufficio,11,15,23,0,23,40,30
10,en,1979-11-17 00:00:00,Maschio,AUSTRIA,Ufficio,63,35,67,50,43,40,87
10,en,1974-06-30 00:00:00,Maschio,AUSTRIA,Ufficio,80,35,60,53,66,37,40
10,en,1973-08-30 00:00:00,Maschio,ITALIA,Ufficio,60,60,43,37,69,20,60
11,fr,1998-02-19 00:00:00,Femmina,FRANCIA,Altro,43,52,60,60,63,34,53
11,en,1977-03-25 00:00:00,Maschio,ITALIA,Ufficio,46,70,70,30,14,49,70
11,en,1973-04-24 00:00:00,Maschio,FRANCIA,Ufficio,40,70,77,70,57,14,53
11,en,1993-07-09 00:00:00,Maschio,ROMANIA,Ufficio,46,35,40,30,43,57,43
11,it,1985-05-09 00:00:00,Femmina,ITALIA,Ufficio,40,52,43,80,51,29,47
11,it,1970-05-19 00:00:00,Maschio,ITALIA,Ufficio,46,42,50,73,57,17,53
11,en,1982-05-31 00:00:00,Maschio,REPUBBLICA SLOVACCA,Ufficio,54,48,47,43,89,57,50
11,en,1977-02-11 00:00:00,Maschio,REPUBBLICA SLOVACCA,Ufficio,46,28,33,70,60,66,23
11,en,1968-11-23 00:00:00,Maschio,ITALIA,Ufficio,40,48,53,80,51,51,60
11,en,1979-08-26 00:00:00,Maschio,REPUBBLICA SLOVACCA,Ufficio,77,68,83,53,46,46,57
11,en,1983-05-09 00:00:00,Maschio,FRANCIA,Ufficio,54,55,50,63,77,43,37
11,en,1968-05-28 00:00:00,Femmina,CROAZIA,Ufficio,46,20,77,63,83,26,53
11,en,1975-09-29 00:00:00,Maschio,REPUBBLICA SLOVACCA,Ufficio,26,45,50,63,63,60,33
11,en,1972-07-18 00:00:00,Femmina,ROMANIA,Ufficio,63,32,70,33,77,57,40
11,de,1969-05-05 00:00:00,Maschio,SVIZZERA,Ufficio,0,0,0,0,0,0,0
11,en,1977-02-21 00:00:00,Maschio,UNGHERIA,Altro,57,42,50,43,83,37,53
11,en,1969-02-17 00:00:00,Maschio,SVIZZERA,Ufficio,37,55,43,57,89,23,63
11,en,1966-12-13 00:00:00,Maschio,FRANCIA,Ufficio,51,60,60,53,51,37,70
11,it,1969-05-05 00:00:00,Maschio,SVIZZERA,Ufficio,49,65,53,57,60,23,60
11,en,1972-01-12 00:00:00,Maschio,ITALIA,Ufficio,69,72,40,53,31,17,70
11,it,1982-04-08 00:00:00,Maschio,FRANCIA,Ufficio,31,60,77,37,46,57,67
11,en,1975-10-01 00:00:00,Maschio,FRANCIA,Ufficio,60,30,50,47,69,29,80
12,en,1969-10-15 00:00:00,Maschio,AUSTRIA,Ufficio,54,48,70,87,80,43,37
12,en,1982-09-19 00:00:00,Femmina,AUSTRIA,Ufficio,43,40,63,60,49,51,30
12,en,1972-02-06 00:00:00,Maschio,AUSTRIA,Ufficio,40,52,33,87,54,37,27
12,de,1963-10-02 00:00:00,Maschio,AUSTRIA,Cantiere o sito operativo,23,42,63,43,71,37,33
12,en,1976-07-26 00:00:00,Maschio,AUSTRIA,Ufficio,74,62,27,73,94,31,57
12,en,1980-09-18 00:00:00,Femmina,AUSTRIA,Ufficio,46,55,73,70,37,49,60
12,de,1989-11-13 00:00:00,Maschio,AUSTRIA,Cantiere o sito operativo,66,20,60,63,40,54,53
12,en,1994-01-15 00:00:00,Maschio,AUSTRIA,Ufficio,71,22,60,47,63,74,37
12,en,1980-08-31 00:00:00,Femmina,AUSTRIA,Altro,23,68,63,57,83,26,37
13,en,1976-06-11 00:00:00,Femmina,TAILANDIA,Ufficio,0,0,0,0,0,0,0
13,en,1975-07-05 00:00:00,Maschio,TAILANDIA,Ufficio,74,40,70,50,57,43,47
13,en,1975-09-18 00:00:00,Femmina,TAILANDIA,Ufficio,0,0,0,0,0,0,0
13,en,1977-02-26 00:00:00,Femmina,TAILANDIA,Ufficio,26,65,30,77,80,40,63
13,en,1972-02-07 00:00:00,Maschio,TAILANDIA,Ufficio,0,0,0,0,0,0,0
13,en,1979-07-17 00:00:00,Maschio,TAILANDIA,Altro,80,42,50,30,60,60,53
13,en,1988-02-12 00:00:00,Femmina,TAILANDIA,Ufficio,40,55,77,67,71,29,20
13,en,1978-09-01 00:00:00,Maschio,TAILANDIA,Altro,26,57,30,57,74,20,70
13,en,1967-11-24 00:00:00,Maschio,TAILANDIA,Ufficio,54,35,63,87,86,51,40
13,en,1971-02-14 00:00:00,Maschio,TAILANDIA,Altro,0,0,0,0,0,0,0
13,en,1979-07-03 00:00:00,Femmina,TAILANDIA,Ufficio,71,25,57,53,49,40,70
13,en,1999-10-06 00:00:00,Femmina,TAILANDIA,Ufficio,66,50,43,50,46,66,40
13,en,1979-06-29 00:00:00,Femmina,TAILANDIA,Ufficio,46,15,47,70,54,49,67
13,en,2024-11-25 00:00:00,Femmina,TAILANDIA,Ufficio,0,0,0,0,0,0,0
13,en,1985-01-27 00:00:00,Femmina,TAILANDIA,Ufficio,63,55,43,53,60,31,37
13,en,1988-09-23 00:00:00,Femmina,TAILANDIA,Ufficio,57,38,63,53,77,34,37
13,en,1982-03-20 00:00:00,Femmina,TAILANDIA,Ufficio,60,45,67,37,74,49,27
13,en,1985-01-21 00:00:00,Maschio,TAILANDIA,Altro,43,25,60,63,51,66,67
13,en,1979-06-25 00:00:00,Femmina,TAILANDIA,Ufficio,0,0,0,0,0,0,0
13,en,1986-08-25 00:00:00,Maschio,TAILANDIA,Altro,49,28,30,47,46,69,57
13,en,1981-04-14 00:00:00,Femmina,TAILANDIA,Altro,29,20,47,47,46,46,60
13,en,1980-11-30 00:00:00,Maschio,TAILANDIA,Altro,63,32,53,63,69,26,67
13,en,1976-02-20 00:00:00,Maschio,TAILANDIA,Ufficio,37,38,37,63,49,54,43
13,en,1986-04-24 00:00:00,Maschio,TAILANDIA,Cantiere o sito operativo,40,68,77,37,80,43,40
13,en,1975-09-18 00:00:00,Femmina,TAILANDIA,Ufficio,49,25,33,70,60,26,57
13,en,1990-12-12 00:00:00,Maschio,TAILANDIA,Ufficio,29,48,67,57,31,46,53
13,en,1995-08-09 00:00:00,Femmina,TAILANDIA,Ufficio,57,28,67,40,57,83,40
13,en,1988-06-04 00:00:00,Maschio,TAILANDIA,Altro,51,50,70,40,69,54,30
13,en,1981-10-01 00:00:00,Maschio,TAILANDIA,Altro,40,45,70,33,60,51,57
13,en,1985-09-10 00:00:00,Maschio,TAILANDIA,Ufficio,37,52,63,63,60,60,20
13,en,1982-04-16 00:00:00,Maschio,TAILANDIA,Ufficio,63,18,47,23,54,46,47
13,en,1979-06-25 00:00:00,Femmina,TAILANDIA,Ufficio,14,30,0,17,29,14,27
13,en,1979-06-25 00:00:00,Femmina,TAILANDIA,Ufficio,54,68,30,20,51,26,63
13,en,1969-08-11 00:00:00,Femmina,TAILANDIA,Ufficio,63,52,50,50,74,60,20
13,en,1980-04-11 00:00:00,Maschio,TAILANDIA,Altro,40,60,47,70,66,69,27
13,en,1982-03-08 00:00:00,Femmina,TAILANDIA,Ufficio,49,28,57,77,31,66,63
13,en,1976-06-11 00:00:00,Femmina,TAILANDIA,Ufficio,57,45,67,53,69,29,33
13,en,1981-02-11 00:00:00,Maschio,TAILANDIA,Ufficio,57,45,37,77,40,63,53
13,en,1971-02-14 00:00:00,Maschio,TAILANDIA,Altro,54,30,47,30,37,49,60
13,en,1988-08-08 00:00:00,Maschio,TAILANDIA,Ufficio,29,55,47,73,60,57,47
13,en,1972-01-31 00:00:00,Maschio,TAILANDIA,Ufficio,43,30,33,50,49,43,57
13,en,1980-04-29 00:00:00,Maschio,TAILANDIA,Altro,34,22,47,23,71,46,63
13,en,1969-12-10 00:00:00,Maschio,TAILANDIA,Ufficio,0,0,0,0,0,0,0
13,en,1981-05-08 00:00:00,Femmina,TAILANDIA,Ufficio,66,57,47,53,51,40,73
13,en,1969-12-10 00:00:00,Maschio,TAILANDIA,Ufficio,57,32,43,37,80,46,47
13,en,1980-08-02 00:00:00,Maschio,GIAPPONE,Ufficio,40,35,70,27,57,49,67
14,en,1976-10-15 00:00:00,Maschio,NIGERIA,Ufficio,49,57,53,53,63,54,63
14,en,1978-05-05 00:00:00,Maschio,NIGERIA,Ufficio,51,40,73,30,74,54,43
14,en,1971-10-26 00:00:00,Maschio,NIGERIA,Ufficio,74,35,37,63,89,31,53
14,it,1989-05-14 00:00:00,Maschio,FRANCIA,Altro,54,35,50,43,77,51,47
14,en,1982-12-03 00:00:00,Maschio,FILIPPINE,Ufficio,0,0,0,0,0,0,0
14,en,1985-12-24 00:00:00,Maschio,NIGERIA,Altro,14,20,33,10,14,9,27
14,en,1987-09-12 00:00:00,Maschio,NIGERIA,Altro,46,38,83,43,77,43,50
14,en,1985-12-24 00:00:00,Maschio,NIGERIA,Altro,14,0,17,0,29,29,0
14,en,1982-12-03 00:00:00,Maschio,FILIPPINE,Ufficio,37,42,63,53,74,37,43
14,en,1970-06-11 01:00:00,Maschio,NIGERIA,Ufficio,54,45,60,53,74,77,60
14,en,1970-12-30 00:00:00,Maschio,NIGERIA,Ufficio,0,0,0,0,0,0,0
